metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.elb.backend_connection_errors,,,,,"The number of connections that were not successfully established between the load balancer and the registered instances. Because the load balancer retries the connection when there are errors, this count can exceed the request rate. Note that this count also includes any connection errors related to health checks.",,elb,
aws.elb.backend_connection_errors_min_,,,,,"The number of connections that were not successfully established between the load balancer and the registered instances. Because the load balancer retries the connection when there are errors, this count can exceed the request rate. Note that this count also includes any connection errors related to health checks._min_",,elb,
aws.elb.backend_connection_errors_max_,,,,,"The number of connections that were not successfully established between the load balancer and the registered instances. Because the load balancer retries the connection when there are errors, this count can exceed the request rate. Note that this count also includes any connection errors related to health checks._max_",,elb,
aws.elb.backend_connection_errors_avg_,,,,,"The number of connections that were not successfully established between the load balancer and the registered instances. Because the load balancer retries the connection when there are errors, this count can exceed the request rate. Note that this count also includes any connection errors related to health checks._avg_",,elb,
aws.elb.desync_mitigation_mode_non_compliant_request_count,,,,,[HTTP listener] The number of requests that do not comply with RFC 7230.,,elb,
aws.elb.desync_mitigation_mode_non_compliant_request_count_min_,,,,,[HTTP listener] The number of requests that do not comply with RFC 7230._min_,,elb,
aws.elb.desync_mitigation_mode_non_compliant_request_count_max_,,,,,[HTTP listener] The number of requests that do not comply with RFC 7230._max_,,elb,
aws.elb.desync_mitigation_mode_non_compliant_request_count_avg_,,,,,[HTTP listener] The number of requests that do not comply with RFC 7230._avg_,,elb,
aws.elb.healthy_host_count,,,,,"The number of healthy instances registered with your load balancer. A newly registered instance is considered healthy after it passes the first health check. If cross-zone load balancing is enabled, the number of healthy instances for the LoadBalancerName dimension is calculated across all Availability Zones. Otherwise, it is calculated per Availability Zone.",,elb,
aws.elb.healthy_host_count_min_,,,,,"The number of healthy instances registered with your load balancer. A newly registered instance is considered healthy after it passes the first health check. If cross-zone load balancing is enabled, the number of healthy instances for the LoadBalancerName dimension is calculated across all Availability Zones. Otherwise, it is calculated per Availability Zone._min_",,elb,
aws.elb.healthy_host_count_max_,,,,,"The number of healthy instances registered with your load balancer. A newly registered instance is considered healthy after it passes the first health check. If cross-zone load balancing is enabled, the number of healthy instances for the LoadBalancerName dimension is calculated across all Availability Zones. Otherwise, it is calculated per Availability Zone._max_",,elb,
aws.elb.healthy_host_count_avg_,,,,,"The number of healthy instances registered with your load balancer. A newly registered instance is considered healthy after it passes the first health check. If cross-zone load balancing is enabled, the number of healthy instances for the LoadBalancerName dimension is calculated across all Availability Zones. Otherwise, it is calculated per Availability Zone._avg_",,elb,
aws.elb.http_code_backend_2xx_http_code_backend_3xx_http_code_backend_4xx_http_code_backend_5xx,,,,,[HTTP listener] The number of HTTP response codes generated by registered instances. This count does not include any response codes generated by the load balancer.,,elb,
aws.elb.http_code_backend_2xx_http_code_backend_3xx_http_code_backend_4xx_http_code_backend_5xx_min_,,,,,[HTTP listener] The number of HTTP response codes generated by registered instances. This count does not include any response codes generated by the load balancer._min_,,elb,
aws.elb.http_code_backend_2xx_http_code_backend_3xx_http_code_backend_4xx_http_code_backend_5xx_max_,,,,,[HTTP listener] The number of HTTP response codes generated by registered instances. This count does not include any response codes generated by the load balancer._max_,,elb,
aws.elb.http_code_backend_2xx_http_code_backend_3xx_http_code_backend_4xx_http_code_backend_5xx_avg_,,,,,[HTTP listener] The number of HTTP response codes generated by registered instances. This count does not include any response codes generated by the load balancer._avg_,,elb,
aws.elb.http_code_elb_4xx,,,,,[HTTP listener] The number of HTTP 4XX client error codes generated by the load balancer. Client errors are generated when a request is malformed or incomplete.,,elb,
aws.elb.http_code_elb_4xx_min_,,,,,[HTTP listener] The number of HTTP 4XX client error codes generated by the load balancer. Client errors are generated when a request is malformed or incomplete._min_,,elb,
aws.elb.http_code_elb_4xx_max_,,,,,[HTTP listener] The number of HTTP 4XX client error codes generated by the load balancer. Client errors are generated when a request is malformed or incomplete._max_,,elb,
aws.elb.http_code_elb_4xx_avg_,,,,,[HTTP listener] The number of HTTP 4XX client error codes generated by the load balancer. Client errors are generated when a request is malformed or incomplete._avg_,,elb,
aws.elb.http_code_elb_5xx,,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.http_code_elb_5xx_min_,,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer._min_",,elb,
aws.elb.http_code_elb_5xx_max_,,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer._max_",,elb,
aws.elb.http_code_elb_5xx_avg_,,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer._avg_",,elb,
aws.elb.latency,,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.latency_min_,,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers._min_",,elb,
aws.elb.latency_max_,,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers._max_",,elb,
aws.elb.latency_avg_,,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers._avg_",,elb,
aws.elb.request_count,,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.request_count_min_,,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes)._min_,,elb,
aws.elb.request_count_max_,,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes)._max_,,elb,
aws.elb.request_count_avg_,,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes)._avg_,,elb,
aws.elb.spillover_count,,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.spillover_count_min_,,,,,The total number of requests that were rejected because the surge queue is full._min_,,elb,
aws.elb.spillover_count_max_,,,,,The total number of requests that were rejected because the surge queue is full._max_,,elb,
aws.elb.spillover_count_avg_,,,,,The total number of requests that were rejected because the surge queue is full._avg_,,elb,
aws.elb.surge_queue_length,,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.surge_queue_length_min_,,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount ._min_",,elb,
aws.elb.surge_queue_length_max_,,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount ._max_",,elb,
aws.elb.surge_queue_length_avg_,,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount ._avg_",,elb,
aws.elb.un_healthy_host_count,,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.un_healthy_host_count_min_,,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks._min_,,elb,
aws.elb.un_healthy_host_count_max_,,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks._max_,,elb,
aws.elb.un_healthy_host_count_avg_,,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks._avg_,,elb,
estimated_alb_active_connection_count,,,,,"The estimated number of concurrent TCP connections active from clients to the load
                                                   balancer and from the load balancer to targets.",,elb,
estimated_alb_consumed_lcus,,,,,"The estimated number of load balancer capacity units (LCU) used by an Application
                                                   Load Balancer. You pay for the number of LCUs that you use per hour. 
                                                   									For more information, see Elastic Load Balancing Pricing.",,elb,
estimated_alb_new_connection_count,,,,,"The estimated number of new TCP connections established from clients to the load balancer
                                                   and from the load balancer to targets.",,elb,
aws.elbestimated_processed_bytes,,,,,The estimated number of bytes processed by an Application Load Balancer.,,elb,
aws.elbavailability_zone,,,,,The estimated number of bytes processed by an Application Load Balancer.,,elb,
aws.elbload_balancer_name,,,,,The estimated number of bytes processed by an Application Load Balancer.,,elb,
