metric_name,Console_Name,Description,unit_name
aws.rds.bin_log_disk_usage,Binary Log Disk Usage (MB),"The amount of disk space occupied by binary logs on the primary. Applies to MySQL
                                                   read
                                                   replicas.",Guage
aws.rds.burst_balance,Burst Balance (Percent),The percent of General Purpose SSD (gp2) burst-bucket I/O credits available.,Guage
aws.rds.c_p_u_utilization,CPU Utilization (Percent),The percentage of CPU utilization.,Guage
aws.rds.c_p_u_credit_usage,CPU Credit Usage (Count),"(T2 instances) The number of CPU credits spent by the instance for CPU utilization.
                                                   One CPU
                                                   credit equals one vCPU running at 100 percent utilization for one minute or an equivalent
                                                   combination of vCPUs, utilization, and time. For example, you might have one vCPU
                                                   running at
                                                   50 percent utilization for two minutes or two vCPUs running at 25 percent utilization
                                                   for two
                                                   minutes.
                                                
CPU credit metrics are available at a five-minute frequency only. If you specify a
                                                   period
                                                   greater than five minutes, use the Sum statistic instead of the
                                                   Average statistic.",Guage
aws.rds.c_p_u_credit_balance,CPU Credit Balance (Count),"(T2 instances) The number of earned CPU credits that an instance has accrued since
                                                it was
                                                launched or started. For T2 Standard, the CPUCreditBalance also includes the number
                                                of launch credits that have been accrued.
                                                Credits are accrued in the credit balance after
                                                   they are earned, and removed from the credit balance when they are spent. The credit
                                                   balance
                                                   has a maximum limit, determined by the instance size. After the limit is reached,
                                                   any new
                                                   credits that are earned are discarded. For T2 Standard, launch credits don't count
                                                   towards the limit.
                                                
The credits in the CPUCreditBalance are available
                                                   for the instance to spend to burst beyond its baseline CPU utilization.
                                                
When an
                                                   instance is running, credits in the CPUCreditBalance don't expire. When the
                                                   instance stops, the CPUCreditBalance does not persist, and all accrued credits
                                                   are lost.
                                                
CPU credit metrics are available at a five-minute frequency
                                                   only.",Guage
aws.rds.database_connections,DB Connections (Count),"The number of database connections in use.
The metric value might not include broken database connections that haven't been
                                                   cleaned up by your database yet. So, the number of database connections recorded by
                                                   your
                                                   database might be higher than the metric value.",Count
aws.rds.disk_queue_depth,Queue Depth (Count),The number of outstanding I/Os (read/write requests) waiting to access the disk.,Count
aws.rds.e_b_s_byte_balance%,EBS Byte Balance (percent),"The percentage of throughput credits remaining in the burst bucket of your RDS database.
                                                   This metric is available for basic monitoring only. 
                                                
To find the instance sizes that support this metric, see the instance sizes with an
                                                   asterisk (*) in the EBS optimized by default
                                                   table in Amazon EC2 User Guide for Linux Instances. The Sum statistic is not
                                                   applicable to this metric.",Guage
aws.rds.e_b_s_i_o_balance%,EBS IO Balance (percent),"The percentage of I/O credits remaining in the burst bucket of your RDS database.
                                                   This
                                                   metric is available for basic monitoring only. 
                                                
To find the instance sizes that support this metric, see the instance sizes with an
                                                   asterisk (*) in the EBS optimized by default
                                                   table in Amazon EC2 User Guide for Linux Instances. The Sum statistic is not
                                                   applicable to this metric.
                                                
This metric is different from BurstBalance. To learn how to use this metric,
                                                   see Improving application performance and reducing costs with Amazon EBS-Optimized Instance
                                                         burst capability.",Guage
aws.rds.failed_s_q_l_server_agent_jobs_count,Failed SQL Server Agent Jobs Count (Count/Minute),The number of failed Microsoft SQL Server Agent jobs during the last minute.,Count/Minute
